table,_time,_value,_field,_measurement
0,2026-04-14T10:00:28.194167041Z,100,register,forced_writes
0,2026-04-14T10:00:40.209877754Z,100,register,forced_writes
0,2026-04-14T10:00:41.21310361Z,100,register,forced_writes
0,2026-04-14T10:00:42.216569944Z,100,register,forced_writes
0,2026-04-14T10:00:43.221717069Z,100,register,forced_writes
0,2026-04-14T10:00:44.227374749Z,100,register,forced_writes
0,2026-04-14T10:00:45.232383418Z,100,register,forced_writes
0,2026-04-14T10:00:46.237736853Z,100,register,forced_writes
0,2026-04-14T10:00:47.242829003Z,100,register,forced_writes
0,2026-04-14T10:00:48.247992463Z,100,register,forced_writes
0,2026-04-14T10:00:49.253412471Z,100,register,forced_writes
0,2026-04-14T10:00:50.258666512Z,100,register,forced_writes
0,2026-04-14T10:00:51.262423303Z,100,register,forced_writes
0,2026-04-14T10:00:52.267594746Z,100,register,forced_writes
0,2026-04-14T10:00:53.272794141Z,100,register,forced_writes
0,2026-04-14T10:00:54.27778215Z,100,register,forced_writes
0,2026-04-14T12:33:54.807459765Z,100,register,forced_writes
0,2026-04-14T12:34:06.821686491Z,100,register,forced_writes
0,2026-04-14T12:34:07.82643575Z,100,register,forced_writes
0,2026-04-14T12:34:08.829976171Z,100,register,forced_writes
0,2026-04-14T12:34:09.833237589Z,100,register,forced_writes
0,2026-04-14T12:34:10.836689835Z,100,register,forced_writes
0,2026-04-14T12:34:11.840005635Z,100,register,forced_writes
0,2026-04-14T12:34:12.845130945Z,100,register,forced_writes
0,2026-04-14T12:34:13.850404272Z,100,register,forced_writes
0,2026-04-14T12:34:14.855688722Z,100,register,forced_writes
0,2026-04-14T12:34:15.859033666Z,100,register,forced_writes
0,2026-04-14T12:34:16.864101792Z,100,register,forced_writes
0,2026-04-14T12:34:17.869146939Z,100,register,forced_writes
0,2026-04-14T12:34:18.874205507Z,100,register,forced_writes
0,2026-04-14T12:34:19.879192288Z,100,register,forced_writes
0,2026-04-14T12:34:20.882888183Z,100,register,forced_writes
0,2026-04-14T13:10:04.471115057Z,100,register,forced_writes
0,2026-04-14T13:10:16.487637183Z,100,register,forced_writes
0,2026-04-14T13:10:17.49276238Z,100,register,forced_writes
0,2026-04-14T13:10:18.49830657Z,100,register,forced_writes
0,2026-04-14T13:10:19.502233007Z,100,register,forced_writes
0,2026-04-14T13:10:20.507384518Z,100,register,forced_writes
0,2026-04-14T13:10:21.512605228Z,100,register,forced_writes
0,2026-04-14T13:10:22.517719897Z,100,register,forced_writes
0,2026-04-14T13:10:23.521683717Z,100,register,forced_writes
0,2026-04-14T13:10:24.526982751Z,100,register,forced_writes
0,2026-04-14T13:10:25.531946367Z,100,register,forced_writes
0,2026-04-14T13:10:26.535768364Z,100,register,forced_writes
0,2026-04-14T13:10:27.539473521Z,100,register,forced_writes
0,2026-04-14T13:10:28.542995407Z,100,register,forced_writes
0,2026-04-14T13:10:29.546280276Z,100,register,forced_writes
0,2026-04-14T13:10:30.551431012Z,100,register,forced_writes
1,2026-04-14T10:00:28.194167041Z,350,value,forced_writes
1,2026-04-14T10:00:40.209877754Z,125,value,forced_writes
1,2026-04-14T10:00:41.21310361Z,130,value,forced_writes
1,2026-04-14T10:00:42.216569944Z,135,value,forced_writes
1,2026-04-14T10:00:43.221717069Z,140,value,forced_writes
1,2026-04-14T10:00:44.227374749Z,145,value,forced_writes
1,2026-04-14T10:00:45.232383418Z,150,value,forced_writes
1,2026-04-14T10:00:46.237736853Z,155,value,forced_writes
1,2026-04-14T10:00:47.242829003Z,160,value,forced_writes
1,2026-04-14T10:00:48.247992463Z,165,value,forced_writes
1,2026-04-14T10:00:49.253412471Z,170,value,forced_writes
1,2026-04-14T10:00:50.258666512Z,175,value,forced_writes
1,2026-04-14T10:00:51.262423303Z,180,value,forced_writes
1,2026-04-14T10:00:52.267594746Z,185,value,forced_writes
1,2026-04-14T10:00:53.272794141Z,190,value,forced_writes
1,2026-04-14T10:00:54.27778215Z,195,value,forced_writes
1,2026-04-14T12:33:54.807459765Z,350,value,forced_writes
1,2026-04-14T12:34:06.821686491Z,125,value,forced_writes
1,2026-04-14T12:34:07.82643575Z,130,value,forced_writes
1,2026-04-14T12:34:08.829976171Z,135,value,forced_writes
1,2026-04-14T12:34:09.833237589Z,140,value,forced_writes
1,2026-04-14T12:34:10.836689835Z,145,value,forced_writes
1,2026-04-14T12:34:11.840005635Z,150,value,forced_writes
1,2026-04-14T12:34:12.845130945Z,155,value,forced_writes
1,2026-04-14T12:34:13.850404272Z,160,value,forced_writes
1,2026-04-14T12:34:14.855688722Z,165,value,forced_writes
1,2026-04-14T12:34:15.859033666Z,170,value,forced_writes
1,2026-04-14T12:34:16.864101792Z,175,value,forced_writes
1,2026-04-14T12:34:17.869146939Z,180,value,forced_writes
1,2026-04-14T12:34:18.874205507Z,185,value,forced_writes
1,2026-04-14T12:34:19.879192288Z,190,value,forced_writes
1,2026-04-14T12:34:20.882888183Z,195,value,forced_writes
1,2026-04-14T13:10:04.471115057Z,350,value,forced_writes
1,2026-04-14T13:10:16.487637183Z,125,value,forced_writes
1,2026-04-14T13:10:17.49276238Z,130,value,forced_writes
1,2026-04-14T13:10:18.49830657Z,135,value,forced_writes
1,2026-04-14T13:10:19.502233007Z,140,value,forced_writes
1,2026-04-14T13:10:20.507384518Z,145,value,forced_writes
1,2026-04-14T13:10:21.512605228Z,150,value,forced_writes
1,2026-04-14T13:10:22.517719897Z,155,value,forced_writes
1,2026-04-14T13:10:23.521683717Z,160,value,forced_writes
1,2026-04-14T13:10:24.526982751Z,165,value,forced_writes
1,2026-04-14T13:10:25.531946367Z,170,value,forced_writes
1,2026-04-14T13:10:26.535768364Z,175,value,forced_writes
1,2026-04-14T13:10:27.539473521Z,180,value,forced_writes
1,2026-04-14T13:10:28.542995407Z,185,value,forced_writes
1,2026-04-14T13:10:29.546280276Z,190,value,forced_writes
1,2026-04-14T13:10:30.551431012Z,195,value,forced_writes
